,city,country,city id,lat,max temp,humidity,wind speed,cloud coverage,date
0,Griffith,AU,7839723,-34.33,41.61,87,8.97,0,1532102124
2,Verkhnevilyuysk,RU,2013639,63.45,63.12,48,4.5,44,1532102124
3,Oloron-Sainte-Marie,FR,6440538,43.19,69.8,94,6.93,92,1532100600
5,Castro,CL,3896218,-42.47,41.97,97,6.96,56,1532102125
6,Shingu,JP,1852109,33.72,84.2,62,8.05,20,1532098800
8,Tete,MZ,1026014,-16.16,65.73,79,7.18,0,1532102125
9,Lazaro Cardenas,MX,4026082,17.96,84.36,84,3.49,20,1532101987
10,Williamsburg,US,4178397,28.41,78.8,100,4.7,90,1532101440
17,Tomatlan,MX,3981391,19.93,81.03,81,2.48,48,1532102126
19,Sumbawanga,TZ,149703,-7.97,69.8,40,8.05,20,1532098800
20,Honiara,SB,2108502,-9.43,71.6,94,3.36,75,1532098800
21,Busselton,AU,7839477,-33.68,63.93,97,23.62,92,1532102127
23,Jamestown,SH,3370903,-15.94,67.71,100,9.64,64,1532102128
24,Belaya Gora,RU,2126785,68.53,60.24,51,12.77,0,1532102128
25,Barrow,US,5880054,71.29,39.2,80,17.22,75,1532098380
26,Georgetown,SH,2411397,-7.93,76.71,100,15.23,92,1532101901
27,Rosarito,MX,3988392,32.33,75.2,83,1.92,90,1532101080
28,Hobart,AU,2163355,-42.88,44.6,56,11.41,40,1532098800
30,Hermanus,ZA,3366880,-34.42,69.87,36,6.73,32,1532102130
31,Nishihara,JP,1855342,26.18,82.4,88,17.22,75,1532099220
32,Hilo,US,5855927,19.73,71.6,83,6.93,20,1532098560
33,Khatanga,RU,2022572,71.97,44.76,63,13.56,88,1532102131
34,Ketchikan,US,5554428,55.34,57.2,82,8.05,75,1532098560
35,Iqaluit,CA,5983720,63.75,62.6,55,21.92,5,1532098800
36,San Quintin,MX,3984997,30.48,68.52,81,3.6,0,1532102132
37,Wajima,JP,1848976,37.4,75.99,92,3.49,0,1532102133
38,Albany,AU,7839657,-34.71,61.14,76,19.04,80,1532102133
40,Rawson,AR,3839307,-43.3,44.13,95,18.14,56,1532102133
41,Faanui,PF,4034551,-16.48,79.95,100,18.25,64,1532102133
42,Punta Arenas,CL,3874787,-53.15,32.0,100,8.05,75,1532098800
43,Ushuaia,AR,3833367,-54.8,42.8,48,12.75,75,1532098800
44,Thompson,CA,6165406,55.74,59.0,67,3.36,75,1532098800
45,Port Alfred,ZA,964432,-33.59,72.75,53,5.5,0,1532102136
46,Upernavik,GL,3418910,72.79,38.64,98,6.06,0,1532102137
47,Bengkulu,ID,1649150,-3.8,79.68,100,0.69,24,1532102137
48,Coquimbo,CL,3893629,-29.95,55.4,43,5.82,0,1532098800
49,Mar del Plata,AR,3430863,-38.0,51.8,76,11.41,75,1532098800
50,Sao Filipe,CV,3374210,14.9,79.32,89,0.69,12,1532102138
51,Kruisfontein,ZA,986717,-34.0,70.59,47,1.48,8,1532102138
52,Victoria,SC,241131,-4.62,78.8,83,9.17,20,1532098800
53,Emmett,US,5592562,43.87,77.0,27,8.05,1,1532100900
54,Naze,JP,1855540,28.37,81.39,99,31.12,92,1532102139
55,Vaini,TO,4032243,-21.2,69.8,77,6.93,20,1532098800
56,Pinega,RU,509483,64.7,79.32,40,7.52,0,1532102139
57,Versalles,CO,3666102,4.58,77.0,73,3.36,75,1532098800
58,Cape Town,ZA,3369157,-33.93,64.4,68,11.41,0,1532098800
59,Opuwo,NA,3354077,-18.06,72.84,25,12.44,8,1532102140
60,Mahebourg,MU,934322,-20.41,69.8,77,10.29,75,1532098800
61,Bethel,US,4182260,32.41,84.2,88,6.73,90,1532100900
72,Chuy,UY,3443061,-33.7,53.76,100,16.58,92,1532102142
73,Hithadhoo,MV,1282256,-0.6,81.21,100,7.18,56,1532102144
74,Santa Cruz,CR,3621607,10.26,86.0,58,12.75,75,1532098800
75,Lebu,CL,3883457,-37.62,50.7,100,5.95,8,1532102144
76,Gaziantep,TR,314829,37.08,89.6,35,14.99,75,1532100000
78,Ribeira Grande,PT,8010689,37.8,73.4,56,14.99,40,1532100600
80,Bonanza,NI,3620645,14.03,78.24,88,4.94,56,1532102145
81,Guerrero Negro,MX,4021858,27.98,69.42,90,6.51,12,1532101994
82,Aksarka,RU,1512019,66.56,64.74,40,4.05,8,1532102146
83,Pevek,RU,2122090,69.7,44.94,87,2.59,0,1532102146
84,Zemetchino,RU,463710,53.5,79.95,60,9.08,48,1532102146
85,Hasaki,JP,2112802,35.73,78.8,88,5.82,20,1532098800
86,Port Hardy,CA,6111862,50.7,57.2,82,4.7,75,1532098800
87,Kytmanovo,RU,1500990,53.46,65.28,77,4.38,20,1532102147
88,Ugoofaaru,MV,1337619,5.67,80.49,100,16.02,44,1532102147
89,Rikitea,PF,4030556,-23.12,74.19,100,14.12,64,1532101877
90,Kapaa,US,5848280,22.08,78.8,78,17.22,90,1532101140
91,Yar-Sale,RU,1486321,66.83,55.11,70,9.08,8,1532102148
92,La Ronge,CA,6050066,55.1,66.2,82,9.17,75,1532098800
93,Sulangan,PH,1685422,11.14,85.44,97,19.48,20,1532102148
96,Bluff,NZ,2206939,-46.6,52.86,86,13.78,68,1532102149
97,Nemuro,JP,2128975,43.32,61.77,92,14.67,92,1532102149
98,Puerto Ayora,EC,3652764,-0.74,78.8,57,19.46,0,1532098800
99,Qaanaaq,GL,3831208,77.48,40.44,85,4.94,0,1532102150
100,Palmer,US,5074769,41.22,75.2,64,8.05,1,1532099700
104,Sao Joao da Barra,BR,3448903,-21.64,80.6,54,8.05,0,1532098800
105,Tazovskiy,RU,1489853,67.47,55.92,31,12.21,0,1532101920
106,Kodiak,US,5866583,57.79,53.6,93,6.93,90,1532100240
107,Ostrovnoy,RU,556268,68.05,77.61,49,15.01,0,1532102151
108,East London,ZA,1006984,-33.02,66.2,59,3.36,0,1532098800
109,Rurrenabaque,BO,3906209,-14.44,86.0,79,2.15,40,1532098800
110,Grindavik,IS,3416888,63.84,53.6,100,27.51,75,1532098860
111,Igrim,RU,1505965,63.19,66.54,52,5.73,0,1532102152
112,Portales,US,5484874,34.19,89.6,22,17.22,1,1532098680
113,Dingle,IE,2964782,52.14,61.41,100,11.54,88,1532102153
114,Saint-Philippe,RE,6690301,-21.35,68.0,64,19.46,40,1532100600
116,Kushiro,JP,2129376,42.98,64.02,96,3.6,88,1532102154
118,Avarua,CK,4035715,-21.21,69.8,88,28.86,90,1532098800
119,Digha,IN,1272625,21.68,83.64,100,9.08,44,1532102155
120,Paciran,ID,1633442,-6.88,83.82,99,15.01,0,1532102155
121,Yangambi,CD,203717,0.81,83.73,70,2.15,24,1532102156
122,Kirakira,SB,2178753,-10.45,74.55,100,10.09,92,1532102156
123,Cajamarca,CO,3688021,4.44,78.8,65,4.7,75,1532098800
124,Werda,BW,932960,-25.27,65.01,28,10.76,0,1532102156
125,New Norfolk,AU,2155415,-42.78,44.6,56,11.41,40,1532098800
126,Yellowknife,CA,6185377,62.46,62.6,67,6.93,20,1532098800
127,Butaritari,KI,7521588,3.16,84.72,100,9.75,80,1532102157
129,Ponta do Sol,CV,3374346,17.2,75.63,100,5.61,36,1532102157
130,Nuuk,GL,3421319,64.18,44.6,81,14.99,75,1532098200
131,Yulara,AU,6355222,-25.24,48.2,49,5.82,0,1532098800
132,Beyneu,KZ,610298,45.32,106.86,17,10.09,36,1532102158
133,Port Augusta,AU,7839451,-32.62,46.4,87,9.17,64,1532098800
135,Marsh Harbour,BS,3571913,26.54,84.36,98,15.79,8,1532102056
136,Anamur,TR,323828,36.08,82.56,79,8.75,0,1532102159
137,Khash,IR,1160571,28.22,90.75,12,12.55,0,1532102159
138,Chokurdakh,RU,2126123,70.63,60.24,56,15.68,24,1532102160
139,Moron,MN,2029947,47.38,59.79,99,2.93,68,1532101933
140,Luderitz,NA,3355672,-26.65,65.46,57,6.06,0,1532102160
141,Pustoshka,RU,503878,56.34,74.37,74,8.19,92,1532102161
142,Isangel,VU,2136825,-19.55,72.84,100,10.76,100,1532101920
143,Saldanha,ZA,3361934,-33.01,64.4,68,8.05,32,1532098800
144,Belmonte,BR,3470137,-15.86,80.6,65,6.93,20,1532102400
145,Ancud,CL,3899695,-41.87,43.68,85,5.95,68,1532102161
146,Williams Lake,CA,6182212,52.14,46.4,75,6.93,75,1532098800
147,Dikson,RU,1507390,73.51,42.96,98,13.67,56,1532102162
148,Atuona,PF,4020109,-9.8,79.32,100,19.71,76,1532102162
