,city,country,city id,lat,max temp,humidity,wind speed,cloud coverage
0,Griffith,AU,7839723,-34.33,41.61,87,8.97,0
1,Verkhnevilyuysk,RU,2013639,63.45,63.12,48,4.5,44
2,Oloron-Sainte-Marie,FR,6440538,43.19,69.8,94,6.93,92
3,Castro,CL,3896218,-42.47,41.97,97,6.96,56
4,Shingu,JP,1852109,33.72,84.2,62,8.05,20
5,Tete,MZ,1026014,-16.16,65.73,79,7.18,0
6,Lazaro Cardenas,MX,4026082,17.96,84.36,84,3.49,20
7,Williamsburg,US,4178397,28.41,78.8,100,4.7,90
8,Tomatlan,MX,3981391,19.93,81.03,81,2.48,48
9,Sumbawanga,TZ,149703,-7.97,69.8,40,8.05,20
10,Honiara,SB,2108502,-9.43,71.6,94,3.36,75
11,Busselton,AU,7839477,-33.68,63.93,97,23.62,92
12,Jamestown,SH,3370903,-15.94,67.71,100,9.64,64
13,Belaya Gora,RU,2126785,68.53,60.24,51,12.77,0
14,Barrow,US,5880054,71.29,39.2,80,17.22,75
15,Georgetown,SH,2411397,-7.93,76.71,100,15.23,92
16,Rosarito,MX,3988392,32.33,75.2,83,1.92,90
17,Hobart,AU,2163355,-42.88,44.6,56,11.41,40
18,Hermanus,ZA,3366880,-34.42,69.87,36,6.73,32
19,Nishihara,JP,1855342,26.18,82.4,88,17.22,75
20,Hilo,US,5855927,19.73,71.6,83,6.93,20
21,Khatanga,RU,2022572,71.97,44.76,63,13.56,88
22,Ketchikan,US,5554428,55.34,57.2,82,8.05,75
23,Iqaluit,CA,5983720,63.75,62.6,55,21.92,5
24,San Quintin,MX,3984997,30.48,68.52,81,3.6,0
25,Wajima,JP,1848976,37.4,75.99,92,3.49,0
26,Albany,AU,7839657,-34.71,61.14,76,19.04,80
27,Rawson,AR,3839307,-43.3,44.13,95,18.14,56
28,Faanui,PF,4034551,-16.48,79.95,100,18.25,64
29,Punta Arenas,CL,3874787,-53.15,32.0,100,8.05,75
30,Ushuaia,AR,3833367,-54.8,42.8,48,12.75,75
31,Thompson,CA,6165406,55.74,59.0,67,3.36,75
32,Port Alfred,ZA,964432,-33.59,72.75,53,5.5,0
33,Upernavik,GL,3418910,72.79,38.64,98,6.06,0
34,Bengkulu,ID,1649150,-3.8,79.68,100,0.69,24
35,Coquimbo,CL,3893629,-29.95,55.4,43,5.82,0
36,Mar del Plata,AR,3430863,-38.0,51.8,76,11.41,75
37,Sao Filipe,CV,3374210,14.9,79.32,89,0.69,12
38,Kruisfontein,ZA,986717,-34.0,70.59,47,1.48,8
39,Victoria,SC,241131,-4.62,78.8,83,9.17,20
40,Emmett,US,5592562,43.87,77.0,27,8.05,1
41,Naze,JP,1855540,28.37,81.39,99,31.12,92
42,Vaini,TO,4032243,-21.2,69.8,77,6.93,20
43,Pinega,RU,509483,64.7,79.32,40,7.52,0
44,Versalles,CO,3666102,4.58,77.0,73,3.36,75
45,Cape Town,ZA,3369157,-33.93,64.4,68,11.41,0
46,Opuwo,,3354077,-18.06,72.84,25,12.44,8
47,Mahebourg,MU,934322,-20.41,69.8,77,10.29,75
48,Bethel,US,4182260,32.41,84.2,88,6.73,90
49,Chuy,UY,3443061,-33.7,53.76,100,16.58,92
50,Hithadhoo,MV,1282256,-0.6,81.21,100,7.18,56
51,Santa Cruz,CR,3621607,10.26,86.0,58,12.75,75
52,Lebu,CL,3883457,-37.62,50.7,100,5.95,8
53,Gaziantep,TR,314829,37.08,89.6,35,14.99,75
54,Ribeira Grande,PT,8010689,37.8,73.4,56,14.99,40
55,Bonanza,NI,3620645,14.03,78.24,88,4.94,56
56,Guerrero Negro,MX,4021858,27.98,69.42,90,6.51,12
57,Aksarka,RU,1512019,66.56,64.74,40,4.05,8
58,Pevek,RU,2122090,69.7,44.94,87,2.59,0
59,Zemetchino,RU,463710,53.5,79.95,60,9.08,48
60,Hasaki,JP,2112802,35.73,78.8,88,5.82,20
61,Port Hardy,CA,6111862,50.7,57.2,82,4.7,75
62,Kytmanovo,RU,1500990,53.46,65.28,77,4.38,20
63,Ugoofaaru,MV,1337619,5.67,80.49,100,16.02,44
64,Rikitea,PF,4030556,-23.12,74.19,100,14.12,64
65,Kapaa,US,5848280,22.08,78.8,78,17.22,90
66,Yar-Sale,RU,1486321,66.83,55.11,70,9.08,8
67,La Ronge,CA,6050066,55.1,66.2,82,9.17,75
68,Sulangan,PH,1685422,11.14,85.44,97,19.48,20
69,Bluff,NZ,2206939,-46.6,52.86,86,13.78,68
70,Nemuro,JP,2128975,43.32,61.77,92,14.67,92
71,Puerto Ayora,EC,3652764,-0.74,78.8,57,19.46,0
72,Qaanaaq,GL,3831208,77.48,40.44,85,4.94,0
73,Palmer,US,5074769,41.22,75.2,64,8.05,1
74,Sao Joao da Barra,BR,3448903,-21.64,80.6,54,8.05,0
75,Tazovskiy,RU,1489853,67.47,55.92,31,12.21,0
76,Kodiak,US,5866583,57.79,53.6,93,6.93,90
77,Ostrovnoy,RU,556268,68.05,77.61,49,15.01,0
78,East London,ZA,1006984,-33.02,66.2,59,3.36,0
79,Rurrenabaque,BO,3906209,-14.44,86.0,79,2.15,40
80,Grindavik,IS,3416888,63.84,53.6,100,27.51,75
81,Igrim,RU,1505965,63.19,66.54,52,5.73,0
82,Portales,US,5484874,34.19,89.6,22,17.22,1
83,Dingle,IE,2964782,52.14,61.41,100,11.54,88
84,Saint-Philippe,RE,6690301,-21.35,68.0,64,19.46,40
85,Kushiro,JP,2129376,42.98,64.02,96,3.6,88
86,Avarua,CK,4035715,-21.21,69.8,88,28.86,90
87,Digha,IN,1272625,21.68,83.64,100,9.08,44
88,Paciran,ID,1633442,-6.88,83.82,99,15.01,0
89,Yangambi,CD,203717,0.81,83.73,70,2.15,24
90,Kirakira,SB,2178753,-10.45,74.55,100,10.09,92
91,Cajamarca,CO,3688021,4.44,78.8,65,4.7,75
92,Werda,BW,932960,-25.27,65.01,28,10.76,0
93,New Norfolk,AU,2155415,-42.78,44.6,56,11.41,40
94,Yellowknife,CA,6185377,62.46,62.6,67,6.93,20
95,Butaritari,KI,7521588,3.16,84.72,100,9.75,80
96,Ponta do Sol,CV,3374346,17.2,75.63,100,5.61,36
97,Nuuk,GL,3421319,64.18,44.6,81,14.99,75
98,Yulara,AU,6355222,-25.24,48.2,49,5.82,0
99,Beyneu,KZ,610298,45.32,106.86,17,10.09,36
100,Port Augusta,AU,7839451,-32.62,46.4,87,9.17,64
101,Marsh Harbour,BS,3571913,26.54,84.36,98,15.79,8
102,Anamur,TR,323828,36.08,82.56,79,8.75,0
103,Khash,IR,1160571,28.22,90.75,12,12.55,0
104,Chokurdakh,RU,2126123,70.63,60.24,56,15.68,24
105,Moron,MN,2029947,47.38,59.79,99,2.93,68
106,Luderitz,,3355672,-26.65,65.46,57,6.06,0
107,Pustoshka,RU,503878,56.34,74.37,74,8.19,92
108,Isangel,VU,2136825,-19.55,72.84,100,10.76,100
109,Saldanha,ZA,3361934,-33.01,64.4,68,8.05,32
110,Belmonte,BR,3470137,-15.86,80.6,65,6.93,20
111,Ancud,CL,3899695,-41.87,43.68,85,5.95,68
112,Williams Lake,CA,6182212,52.14,46.4,75,6.93,75
113,Dikson,RU,1507390,73.51,42.96,98,13.67,56
114,Atuona,PF,4020109,-9.8,79.32,100,19.71,76
115,Juye,CN,1804892,35.39,87.69,65,9.98,8
116,Sur,OM,286245,22.57,90.12,79,1.59,8
117,Mudu,CN,1898359,31.25,81.39,79,10.98,0
118,Poum,NC,2138555,-20.23,72.84,100,8.08,24
119,Bellavista,PE,3699364,-7.06,78.8,83,0.58,0
120,Roseburg,US,5749352,43.22,57.2,67,8.05,1
121,Le Vauclin,MQ,3570392,14.55,86.0,66,20.8,40
122,Minbu,MM,1309289,20.18,75.54,100,9.64,100
123,Adrar,DZ,2508813,27.87,118.4,8,11.41,0
124,Bima,ID,1648759,-8.47,75.72,96,2.71,64
125,Salalah,OM,286621,17.02,78.8,88,9.17,90
126,Tateyama,JP,1850523,34.98,82.4,83,16.11,20
127,Dunedin,NZ,2191562,-45.87,43.86,69,8.97,56
128,Ahuimanu,US,5856516,21.44,78.8,74,5.82,90
129,Kyren,RU,2021031,51.68,52.32,98,2.04,88
130,Port Elizabeth,ZA,964420,-33.92,73.4,31,4.7,0
131,Tahe,CN,2034615,52.33,62.22,95,2.93,0
132,Cabo San Lucas,MX,3985710,22.89,86.0,48,11.41,75
133,Lakhdenpokhya,RU,537147,61.52,71.76,77,10.42,80
134,Arraial do Cabo,BR,3471451,-22.97,80.6,61,17.22,0
135,Nhulunbuy,AU,2064735,-12.23,73.4,88,9.17,40
136,Sambava,MG,1056899,-14.27,72.21,100,14.0,80
137,Kapchorwa,UG,232235,1.4,70.05,82,2.71,24
138,Georgiyevka,KZ,1524243,43.04,76.17,33,4.38,0
139,Deputatskiy,RU,2028164,69.3,56.1,71,3.94,56
140,Byron Bay,AU,2172880,-28.65,57.2,41,5.82,0
141,Yurga,RU,1485724,55.72,64.02,85,4.5,32
142,Margate,ZA,978895,-30.86,70.14,69,17.81,0
143,Svetlaya,RU,2015852,46.54,67.44,80,2.37,92
144,Tecoanapa,MX,3516171,16.52,79.59,88,3.6,12
145,Ambon,ID,1651531,-3.7,75.2,100,6.93,75
146,Pervomayskoye,RU,510814,60.36,75.2,69,13.42,75
147,Necochea,AR,3430443,-38.55,49.44,100,16.13,80
148,Mildura,AU,2157698,-34.2,40.98,90,7.18,0
149,Vestmanna,FO,2610343,62.16,55.4,93,10.29,80
150,Provideniya,RU,4031574,64.38,43.77,100,8.08,92
151,Skegness,GB,2637762,53.14,80.6,47,8.05,20
152,Ramnagar,IN,1258639,27.17,87.69,77,4.72,12
153,Ambilobe,MG,1082243,-13.2,78.96,45,13.56,68
